"","C001F","C002F","C004F","C005F","C006F","C007F","C008F","C009F","C013F","C014F","C015F"
"MAG181",204635,1277,182853,134720,260553,360134,109797,556417,70169,359007,407614
"MAG182",13519,32,60,273,118729,23653,10100,106591,15,626,274607
"MAG183",191699,7445,3515,2762,56238,5866,130678,1117,2285,11496,356847
"MAG184",3816,7132,9261,6467,36358,5689,9181,40421,3803,8283,893105
"MAG185",620762,2248273,88616,88977,202775,15204,25170,1481231,5515,140205,601946
"MAG186",105441,1353,1696,5103,2094,6197,4306,111151,1002,164528,655952
"MAG187",448027,9710,1397441,614670,30107,364826,1127282,2832794,656177,590476,1261853
"MAG188",407897,191308,113248,619137,125819,2192541,1361339,447865,371307,777064,1109914
"MAG189",37021,23544,92728,40369,48304,135538,122179,158747,1625,65546,135308
"MAG190",54662,16176,21428,200032,59024,196872,141281,649716,37087,36229,901873
"MAG191",15045,8384,32269,15174,21220,22410,169793,304704,15261,107402,395240
"MAG192",525770,1511051,13050,23811,5721,19311,652361,60,657537,26907,253409
"MAG193",510947,2331009,614251,119290,26424,2034,76099,1183,396540,18146,869577
"MAG194",1001,16108,4900,63811,34868,19500,23117,8166,1806,139525,164576
"MAG195",375,343,400,505,21079,15242,1204,453,398,596,120611
"MAG196",41103,45896,78375,125897,16786,116453,26364,48254,74247,31962,190460
"MAG197",29681,7530,12753,33650,156242,86215,6342,30793,5485,20759,290113
"MAG198",31926,6859,26951,47782,110818,53532,39842,177586,33879,14071,354335
"MAG199",1225,1556,2966,878,1014,44305,1885,17520,2410,1448,139586
"MAG200",17625,8745,42011,22565,67211,79789,461754,14862,10627,19361,308620
"MAG201",930,1423,1688,2129,21112,2175,33517,1341,260,3595,160397
"MAG202",51991,10101,21760,142640,210445,28104,29811,73271,51649,36998,1572725
"MAG203",14219,9400,5750,9307,32524,4320,4130,68768,7593,91140,646742
"MAG204",308114,6118,99195,245071,15342,580623,558135,9594,5409,385953,2673099
"MAG205",217418,352348,57646,15110,1688,104,12797,10720,155336,853,3820
"MAG206",257037,400399,220396,67004,45799,426807,418994,65740,360255,204532,77703
"MAG207",3283,154683,3290,52504,1071,12242,14007,12863,8990,10748,577
"MAG208",50573,2401077,1706,753,8653,9887,41057,4612,4647,647,3462
"MAG209",644375,148083,31849,8668,573164,705435,1386084,490231,179,265604,1138
"MAG210",132265,413319,24071,196837,98691,190112,182027,225401,21021,73728,44857
"MAG211",517080,38698,1032,12737,2038,88033,63815,33,850,50365,59969
"MAG212",12994,119413,5773,31378,2153,861,12006,24392,8372,3456,5357
"MAG213",150958,138744,46535,12694,3312,1633,28438,1163,113478,7755,1390
"MAG214",10184,169774,359,29788,10868,6818,15143,13507,325,2900,6610
"MAG215",682105,1906669,170095,59077,119076,452680,455280,61000,545183,197464,97526
"MAG216",995127,10381,56017,406122,12040,99713,39315,33596,637187,230858,432024
"MAG217",3391,64660,1001,1401,1430,360,56,770,30,24,46
"MAG218",1196,180581,155,12790,2959,1114,2551,101,2097,32,479
"MAG219",58153,46512,996,26823,2090,4788,57600,8233,154666,126742,27820
"MAG220",640820,1,8062,30875,116929,127096,218788,197623,167778,8581,13927
"MAG221",98627,51770,52474,31610,13483,23210,13403,27641,41265,2880,55753
"MAG222",300988,14280,46107,89766,58072,102361,22195,181936,114320,132839,33449
"MAG223",40223,146893,3729,394,2417,133623,562,967,1981,1185,2255
"MAG224",480,394366,478,311,196,471,417,1678,215,123,566
"MAG225",87849,184821,14162,3444,4202,1414,3915,2024,23148,1834,1929
"MAG226",206871,18964,6401,17328,3875,2545,9602,12940,315217,3692,4756
"MAG227",14083,123189,94670,75976,19878,25373,19335,2229,3712,3064,3586
"MAG228",26441,141841,4602,9652,3160,12129,37336,14743,14149,11900,18593
"MAG229",12816,50516,26441,7960,3724,13268,16096,2454,23222,4314,3786
"MAG230",2981,74527,10162,48,35,11797,10852,32,72478,32,23
"MAG231",40672,441775,11165,53050,8289,19891,4369,227,422,62,189
"MAG232",32402,808922,200855,159986,331458,49741,705940,16387,430740,471329,21546
"MAG233",199083,149629,11,0,2,2,195595,15,27,44600,2
"MAG234",257866,34879,771,2858,26716,4645,80439,43835,16981,30793,88570
"MAG235",3300,171646,35110,29441,3319,9864,5381,3196,3894,2841,4685
"MAG236",237135,10293,7490,5929,21621,10401,72407,5011,11364,2000,6343
"MAG237",332988,58695,302325,70206,38097,170625,98765,31663,329057,32926,125748
"MAG238",69562,205842,10597,453120,14170,115382,21764,109042,406614,1212122,25854
"MAG239",10318,2419,9196,746025,12017,12991,6812,8033,326224,7281,7943
"MAG240",48788,69225,944325,4941,122887,18211,438915,5962,96289,51825,292583
"MAG241",18631,2217,210827,11086,59168,57385,34354,61408,68952,95419,85576
"MAG242",4698,8878,5079,8690,2831682,3951,16939,17035,2713,6418,31679
"MAG243",377,80383,74335,616,111055,91397,1374,360,490,895,722
"MAG244",52701,139,717,207217,72,23,347,4962,58368,1232,342
"MAG245",986,132,133267,14003,33441,93445,2025,2780,533,10999,794
"MAG246",707,11730,525,85,122877,97,22884,427356,1522,548,435266
"MAG247",5258,22379,132037,4987,24508,17432,10284,154076,3998,5412,55162
"MAG248",10525,8916,868324,32830,3615,4387,21353,8557,6162,8034,14156
"MAG249",31485,23903,27,96018,4334,5730,29297,1180,295,5207,54
"MAG250",2344,6132,2331,8841,192776,159019,78670,104637,801,116702,5526
"MAG251",76844,69679,257007,8620,6635,27828,4988,10462,70644,26118,162931
"MAG252",9622,8006,65289,435,36001,451,6623,316,29,387,182
"MAG253",1390,1334,67433,94055,3296,95038,4819,6477,1079,29905,65719
"MAG254",9945,9348,9937,205755,242574,104466,16696,1416793,11672,20110,570340
"MAG255",1515,3214,87376,48716,923,2438,2697,1516,1928,81174,685
"MAG256",15252,1553,2136,9626,163997,179743,3225,94018,2807,7363,12535
"MAG257",17442,6670,3585,99797,93523,50896,117801,26547,43172,53032,27849
"MAG258",46,184,83,339,119983,46638,4485,9497,365,1159,17408
"MAG259",17,43,44877,142,29401,9385,1960,96,57,2795,30526
"MAG260",23395,45352,34147,87907,1215,9624,27570,7380,4492,1868,8622
"MAG261",123727,33686,4209,199027,12428,18162,20843,15057,16211,19565,14523
"MAG262",13971,146061,16143,19598,316914,50517,69677,107529,10087,186162,10816
"MAG263",65686,305719,1009,52284,115126,9332,9958,9793,122777,5424,482557
"MAG264",923,1317,831,1823,554,3730,143406,76767,409,153,181773
"MAG265",15165,21075,10355,15702,1218,32160,29417,12140,21182,73267,12330
"MAG266",88601,97061,88903,36799,75808,111767,84439,68202,52726,5950,159297
"MAG267",3589,2416,15686,29245,10212,8721,767072,6529,2346,48288,254201
"MAG268",101,77,130,317,107,2965551,246,43,37,300,82
"MAG269",11353,2227,49846,36952,149352,81259,26587,246569,14602,38166,238793
"MAG270",133355,157673,27957,115849,6400,157081,16964,28113,113067,57343,53583
"MAG271",33799,14511,96606,183859,49115,122924,30495,111451,90618,279411,105239
"MAG272",941,425,579,98688,8448,199041,6538,767,104,416,788
"MAG273",86337,162754,21141,61491,59220,176401,75036,77944,1347,290145,109058
"MAG274",584,295,1681,15372,1362,400174,79983,869,1161,93172,714
"MAG275",13466,9128,2007,5912,5536,84484,623082,73321,1217,7328,6682
"MAG276",124545,11720,25877,2156,16730,3777,31662,40573,762957,6573,6740
"MAG277",3001,5939,3491,8798,4583,151805,44230,23811,4947,11141,18288
"MAG278",3102,764403,778,685,2946,210956,2148,426265,731,528,482963
"MAG279",14837,20112,275,3741,3906,933,269519,17532,18846,14227,2487
"MAG280",46664,174485,59578,34346,8268,38465,28781,20198,109979,44562,16218
"MAG281",6817,17396,10652,8395,40129,14693,230927,1803,1139,494095,36048
"MAG282",902,3390,41036,2498,41180,48748,5820,59700,11926,1780,41245
"MAG283",4983,9040,36966,4279,6146,4938,49852,3460,309951,2985,3990
"MAG284",226178,22107,71730,82985,221145,211763,76822,65188,98381,65360,539612
"MAG285",8277,1569,1802,8175,33633,2768,74641,1502,4333,14125,127284
"MAG286",1482,1485,2179,5978,1041,263917,65902,5977,580,65379,519
"MAG287",19971,3542,33212,13420,44822,136995,86977,2240,3406,25841,36768
"MAG288",154,306,192,283,29095,2766,142738,801,601,59910,15863
"MAG289",42789,28395,2710,77603,55727,41891,88963,118172,7375,57007,3406
"MAG290",6010,31163,761,164040,5143,304775,90449,35439,3460,25922,11702
"MAG291",403,1056,782,12134,66833,104331,49052,3015,335,3395,2524
"MAG292",11278,127637,24446,105969,1450,200511,90997,1733,1660,19956,48614
"MAG293",81621,739,1625,125463,99386,538,139717,16107,7049,70088,160937
"MAG294",55,326,174,26,272,60,88692,57390,35,408,518
"MAG295",1193,601,10455,2320,25311,447,7898,86629,2471,12106,70025
"MAG296",2830,1921,4826,23040,37501,1237,58713,75717,691,149265,52770
"MAG297",556,86,297,992,813,28919,102790,6808,829,266651,31784
"MAG298",7325,11614,4764,5796,5394,4508,7508,398084,5701,32488,11713
"MAG299",5397,549,94146,4918,64179,130011,35664,18489,6171,21029,24047
"MAG300",2496,646,3850,2184,2400,341533,2204,2044,1498,69810,5025
"MAG301",9046,72852,20505,14633,14262,282241,14805,14234,3962,17770,32327
"MAG302",5007,1956,15615,7559,89115,53377,60773,9278,56817,26353,32238
"MAG303",818,4029,249,226,24041,69,4388,1374,28,56774,87754
"MAG304",1891,26780,2170,13403,23775,58161,57236,31857,1437,32550,29592
"MAG305",10069,36,7092,79640,32471,47998,62062,28,9672,89015,68
"MAG306",17434,1836,1026,921,1322,61774,6833,31205,821,39430,48275
"MAG307",25,42,15714,23110,20701,48290,21344,43285,15143,22924,48584
"MAG308",688,1940,361,7879,815,808,29016,5703,125,45116,45299
"MAG309",37,72,13,258,47,98,66093,79,48,63,51053
"MAG310",135,53411,478,142,870,1356,2155,291542,113229,700,6422
"MAG311",749,715,24446,2668,3076,195180,8506,5414,1746,8915,16554
"MAG312",287175,21413,220374,163639,466515,72316,79576,2851001,476763,155009,444313
"MAG313",696,123,856,62,24921,8000,82224,458,301,2708,19168
"MAG314",1198,61703,6667,4459,30651,634,17520,1333,28440,2439,160987
"MAG315",1741,4511,1752,2505,2190,5608,66475,426235,1486,9364,4709
"MAG316",10251,935,105093,1292,21239,495,171810,4267,77,2318,76596
"MAG317",6057,1625,13785,47927,37342,1541,111586,1319,3461,81742,70091
"MAG318",549,338,277,481,340,30868,129686,2148,39,50387,184826
"MAG319",17290,6471,22002,25543,27182,4119,202520,10580,5876,18697,17559
"MAG320",6514,17089,96050,6715,1660,4838,213287,3256,1468,4212,9665
"MAG321",2458,124,88,550,107078,141842,11109,1112,38,726,101671
"MAG322",9851,42956,14297,39645,20551,155601,23324,2432,12501,2942,9786
"MAG323",5397,5178,10800,46356,2705,659,129059,7918,722,3122,103084
"MAG324",69245,175227,272953,75220,25492,197679,51680,114100,47593,175893,94994
"MAG325",186,14373,480,376,341,479,212,159,125912,392,143
"MAG326",63034,7045,13176,18638,66140,9623,192673,60798,5916,32697,85833
"MAG327",9628,6220,68414,17036,7996,2799,109866,9173,11923,54801,47729
"MAG328",530,5605,1148,205,25812,385,3168,69126,196,85748,1656
"MAG329",38263,14753,19988,11480,21685,3306,17336,17840,25097,24912,7951
"MAG330",4811,287,46494,21868,13907,37188,23899,892,766,31175,16463
"MAG331",8821,15197,6070,17247,12964,67060,37686,9167,2030,5130,123675
"MAG332",54639,14388,34916,210249,147529,221818,2733252,157138,32009,316820,39658
"MAG333",58190,31654,24536,45383,23714,169230,40027,11244,4365,106492,42534
"MAG334",48338,109645,96721,85226,14415,42113,71593,9700,186503,8066,13675
"MAG335",555,1489,886,1312,40482,9817,31148,916,150,14176,104832
"MAG336",883,2035,14600,2220,26460,152,52678,399,46,41857,9046
"MAG337",4208,60697,2021,4978,4870,82146,4611,534,27638,66845,32241
"MAG338",92549,79538,71527,117540,36252,36729,130074,62233,103567,58278,17200
"MAG339",10515,12329,61550,37170,5965,77628,57665,8864,32335,35785,6764
"MAG340",933,2326,885,966,4065,15523,3906,84942,256,81037,453844
"MAG341",132744,25032,41005,58288,126679,68837,86872,317891,44836,35708,10729
"MAG342",254567,1362748,831256,92940,6787,10841,132436,17652,607599,17405,30986
"MAG343",215093,92242,61162,105035,9575,36799,138282,19650,35858,160478,12495
"MAG344",10777,2336,8761,1511,2120,8616,22316,2014,2970,3628,1127
"MAG345",4079,49433,9699,38748,12855,58859,83836,4298,1496,21448,12520
"MAG346",5285,4998,14417,138217,33219,351461,136669,8364,4825,13151,13844
"MAG347",95970,379101,5556,52708,12020,70963,1252,1582,78,130,76
"MAG348",45522,3313,3193,6027,64659,1690,5120,10939,10090,1971,27550
"MAG349",28761,213016,191,27148,4488,23269,6164,1950,464,1866,938
"MAG350",1337,3812,2386,3766,37863,3200,9435,87604,1462,3655,3085
"MAG351",297731,15661,233155,17384,6519,74350,71207,3181,215226,3190,6857
"MAG352",1535,39653,740,9099,3799,1636,768,48,24,6,18
"MAG353",452,846,12379,88303,68616,48859,39894,23991,421,5866,63948
"MAG354",2431,33069,19478,15610,10717,87032,9530,10954,39200,64880,25153
"MAG355",37263,57925,14320,29686,3456,20639,21956,36512,97047,19963,12152
"MAG356",19073,24897,24142,12112,22504,13935,20396,15675,63443,7396,14975
"MAG357",74882,43010,23922,17864,3549,9568,7265,15443,56627,7051,3915
"MAG358",5172,3478,4596,4204,2371,1977,6248,7059,5900,4227,9757
"MAG359",5516,54398,2551,3451,13152,32889,80726,1247,1065,29738,16731
"MAG360",958,9646,1321,55711,2902,5822,7465,4947,7401,19347,4056
"MAG361",91740,327268,79255,12527,5602,91677,36245,46410,27234,3324,35897
"MAG362",898,4169,777,106,812,1479,155,67125,1676,626,694
"MAG363",2516,282308,2882,3416,1518,34139,2988,377734,2377,3286,141269
"MAG364",1844,84308,6480,1239,2958,14279,13142,2074,1092,4871,2956
"MAG365",46601,91644,38883,60525,117639,10279,186141,25925,70999,23754,23002
"MAG366",46335,77510,1851,74154,8226,69696,56238,21103,17466,26102,17363
"MAG367",3804,28007,61532,11729,6767,45308,33483,10447,4916,6994,7849
"MAG368",9548,8819,33693,16590,79156,54885,35126,42882,24646,148815,526012
"MAG369",39687,175656,16696,35487,13717,21931,45923,15293,14740,66384,69407
"MAG370",14575,8689,90187,56668,37879,157927,69377,65396,50230,90542,47572
"MAG371",14110,5101,1806,7852,25930,3548,31946,11554,7079,8247,25098
"MAG372",5622,50178,7490,770,4359,1227,42886,10980,1346,2652,8141
"MAG373",43375,110865,135857,62266,41445,206348,186706,376860,13902,91495,59949
